key	value
case.offline.serial_fold4.safe.O0.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O0.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O2.contract-fast.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.safe.O2.contract-fast.fast_math_licences	contract
case.offline.serial_fold4.safe.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O2.contract-fast.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O2.contract-off.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.safe.O2.contract-off.fast_math_licences	none
case.offline.serial_fold4.safe.O2.contract-off.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O2.contract-off.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.serial_fold4.safe.O2.contract-on.fold_shape	t0=a0+a1;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.serial_fold4.safe.O2.contract-on.fast_math_licences	none
case.offline.serial_fold4.safe.O2.contract-on.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.serial_fold4.safe.O2.contract-on.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.offline.serial_fold4.safe.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.serial_fold4.safe.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.fast.O0.contract-fast.fast_math_licences	fast
case.offline.split_fold4.fast.O0.contract-fast.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O0.contract-fast.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.fast.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.fast.O0.contract-off.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.split_fold4.fast.O0.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O0.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.fast.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.fast.O0.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.split_fold4.fast.O0.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O0.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.fast.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O2.contract-fast.fold_shape	t0=a1+a0;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.split_fold4.fast.O2.contract-fast.fast_math_licences	fast
case.offline.split_fold4.fast.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O2.contract-fast.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.offline.split_fold4.fast.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O2.contract-off.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.fast.O2.contract-off.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.split_fold4.fast.O2.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O2.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.fast.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.fast.O2.contract-on.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.fast.O2.contract-on.fast_math_licences	reassoc nnan ninf nsz arcp afn
case.offline.split_fold4.fast.O2.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.fast.O2.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.fast.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.fast.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.relaxed.O0.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.split_fold4.relaxed.O0.contract-fast.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O0.contract-fast.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.relaxed.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.relaxed.O0.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.split_fold4.relaxed.O0.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O0.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.relaxed.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.relaxed.O0.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.split_fold4.relaxed.O0.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O0.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.relaxed.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O2.contract-fast.fold_shape	t0=a1+a0;t1=t0+a2;t2=t1+a3,tree=serial
case.offline.split_fold4.relaxed.O2.contract-fast.fast_math_licences	reassoc nsz arcp contract afn
case.offline.split_fold4.relaxed.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O2.contract-fast.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.offline.split_fold4.relaxed.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O2.contract-off.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.relaxed.O2.contract-off.fast_math_licences	reassoc nsz arcp afn
case.offline.split_fold4.relaxed.O2.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O2.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.relaxed.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.relaxed.O2.contract-on.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.relaxed.O2.contract-on.fast_math_licences	reassoc nsz arcp afn
case.offline.split_fold4.relaxed.O2.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.relaxed.O2.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.relaxed.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.relaxed.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O0.contract-fast.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.safe.O0.contract-fast.fast_math_licences	contract
case.offline.split_fold4.safe.O0.contract-fast.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O0.contract-fast.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O0.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O0.contract-off.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.safe.O0.contract-off.fast_math_licences	none
case.offline.split_fold4.safe.O0.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O0.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O0.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O0.contract-on.fold_shape	t0=L0+L1;t1=L2+L3;t2=L4+L5,tree=unresolved-through-stack-slots
case.offline.split_fold4.safe.O0.contract-on.fast_math_licences	none
case.offline.split_fold4.safe.O0.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O0.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O0.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O0.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-fast.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O2.contract-fast.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.safe.O2.contract-fast.fast_math_licences	contract
case.offline.split_fold4.safe.O2.contract-fast.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O2.contract-fast.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O2.contract-fast.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-fast.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-off.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O2.contract-off.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.safe.O2.contract-off.fast_math_licences	none
case.offline.split_fold4.safe.O2.contract-off.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O2.contract-off.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O2.contract-off.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-off.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-on.float_operations	fadd;fadd;fadd
case.offline.split_fold4.safe.O2.contract-on.fold_shape	t0=a0+a1;t1=a2+a3;t2=t0+t1,tree=split
case.offline.split_fold4.safe.O2.contract-on.fast_math_licences	none
case.offline.split_fold4.safe.O2.contract-on.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.offline.split_fold4.safe.O2.contract-on.verdict.seed	observed=3f800001,written=3f800001,verdict=as-written
case.offline.split_fold4.safe.O2.contract-on.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.offline.split_fold4.safe.O2.contract-on.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.fast.opt-default.applied	math=fast,fpfun=precise,lang=4.0,opt=default
case.runtime.contraction_control.fast.opt-default.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.runtime.contraction_control.fast.opt-default.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.fast.opt-default.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.fast.opt-default.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.runtime.contraction_control.fast.opt-size.applied	math=fast,fpfun=precise,lang=4.0,opt=size
case.runtime.contraction_control.fast.opt-size.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.runtime.contraction_control.fast.opt-size.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.fast.opt-size.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.fast.opt-size.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.runtime.contraction_control.relaxed.opt-default.applied	math=relaxed,fpfun=precise,lang=4.0,opt=default
case.runtime.contraction_control.relaxed.opt-default.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.runtime.contraction_control.relaxed.opt-default.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.relaxed.opt-default.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.relaxed.opt-default.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.runtime.contraction_control.relaxed.opt-size.applied	math=relaxed,fpfun=precise,lang=4.0,opt=size
case.runtime.contraction_control.relaxed.opt-size.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9d 3fc58f9d 3fc58f9d 3fc58f9d
case.runtime.contraction_control.relaxed.opt-size.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.relaxed.opt-size.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.relaxed.opt-size.verdict.contraction	observed=3fc58f9d,written=3fc58f9e,verdict=diverged
case.runtime.contraction_control.safe.opt-default.applied	math=safe,fpfun=precise,lang=4.0,opt=default
case.runtime.contraction_control.safe.opt-default.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.runtime.contraction_control.safe.opt-default.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.safe.opt-default.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.safe.opt-default.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.runtime.contraction_control.safe.opt-size.applied	math=safe,fpfun=precise,lang=4.0,opt=size
case.runtime.contraction_control.safe.opt-size.results	3e400003 3e400003 3e400003 3e400003 40c00000 40c00000 40c00000 40c00000 3fc58f9e 3fc58f9e 3fc58f9e 3fc58f9e
case.runtime.contraction_control.safe.opt-size.verdict.seed	observed=3e400003,written=3e400003,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.safe.opt-size.verdict.witness	observed=40c00000,written=40c00000,verdict=as-written-and-freedom-independent
case.runtime.contraction_control.safe.opt-size.verdict.contraction	observed=3fc58f9e,written=3fc58f9e,verdict=as-written
case.runtime.serial_fold4.fast.opt-default.applied	math=fast,fpfun=precise,lang=4.0,opt=default
case.runtime.serial_fold4.fast.opt-default.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.fast.opt-default.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.fast.opt-default.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.fast.opt-default.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.fast.opt-size.applied	math=fast,fpfun=precise,lang=4.0,opt=size
case.runtime.serial_fold4.fast.opt-size.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.fast.opt-size.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.fast.opt-size.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.fast.opt-size.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.relaxed.opt-default.applied	math=relaxed,fpfun=precise,lang=4.0,opt=default
case.runtime.serial_fold4.relaxed.opt-default.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.relaxed.opt-default.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.relaxed.opt-default.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.relaxed.opt-default.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.relaxed.opt-size.applied	math=relaxed,fpfun=precise,lang=4.0,opt=size
case.runtime.serial_fold4.relaxed.opt-size.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.relaxed.opt-size.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.relaxed.opt-size.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.relaxed.opt-size.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.safe.opt-default.applied	math=safe,fpfun=precise,lang=4.0,opt=default
case.runtime.serial_fold4.safe.opt-default.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.safe.opt-default.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.safe.opt-default.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.safe.opt-default.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.safe.opt-size.applied	math=safe,fpfun=precise,lang=4.0,opt=size
case.runtime.serial_fold4.safe.opt-size.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.serial_fold4.safe.opt-size.verdict.seed	observed=3f800000,written=3f800000,verdict=as-written
case.runtime.serial_fold4.safe.opt-size.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.serial_fold4.safe.opt-size.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.fast.opt-default.applied	math=fast,fpfun=precise,lang=4.0,opt=default
case.runtime.split_fold4.fast.opt-default.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.split_fold4.fast.opt-default.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.runtime.split_fold4.fast.opt-default.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.fast.opt-default.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.fast.opt-size.applied	math=fast,fpfun=precise,lang=4.0,opt=size
case.runtime.split_fold4.fast.opt-size.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.split_fold4.fast.opt-size.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.runtime.split_fold4.fast.opt-size.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.fast.opt-size.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.relaxed.opt-default.applied	math=relaxed,fpfun=precise,lang=4.0,opt=default
case.runtime.split_fold4.relaxed.opt-default.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.split_fold4.relaxed.opt-default.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.runtime.split_fold4.relaxed.opt-default.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.relaxed.opt-default.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.relaxed.opt-size.applied	math=relaxed,fpfun=precise,lang=4.0,opt=size
case.runtime.split_fold4.relaxed.opt-size.results	3f800000 3f800000 3f800000 3f800000 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
case.runtime.split_fold4.relaxed.opt-size.verdict.seed	observed=3f800000,written=3f800001,verdict=diverged
case.runtime.split_fold4.relaxed.opt-size.verdict.witness	observed=41700000,written=41700000,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.relaxed.opt-size.verdict.contraction	observed=40772fdf,written=40772fdf,verdict=as-written-and-freedom-independent
case.runtime.split_fold4.safe.opt-default.applied	math=safe,fpfun=precise,lang=4.0,opt=default
case.runtime.split_fold4.safe.opt-default.results	3f800001 3f800001 3f800001 3f800001 41700000 41700000 41700000 41700000 40772fdf 40772fdf 40772fdf 40772fdf
